"system"	"x"	"y"	"x_name"	"y_name"	"edge_type"	"x_number"	"y_number"	"x_id"	"y_id"
"Gut"	"G_M8"	"G_M9"	"Gut"	"Hepatocytes"	"Developmental progression"	123	124	108	114
"Gut"	"G_M13"	"G_M1"	"Lung progenitor cells"	"Airway club cells"	"Developmental progression"	113	109	135	10
"Gut"	"G_M8"	"G_M13"	"Gut"	"Lung progenitor cells"	"Developmental progression"	123	113	108	135
"Gut"	"G_M8"	"G_M7"	"Gut"	"Foregut epithelial cells"	"Developmental progression"	123	122	108	97
"Gut"	"G_M14"	"G_M11"	"Midgut/Hindgut epithelial cells"	"Intestinal goblet cells"	"Developmental progression"	114	111	150	125
"Gut"	"G_M9"	"G_M5"	"Hepatocytes"	"Biliary epithelial cells"	"Developmental progression"	124	120	114	32
"Gut"	"G_M3"	"G_M12"	"Alveolar Type 1 cells"	"Lung cells (Eln+)"	"Developmental progression"	118	112	14	133
"Gut"	"G_M1"	"G_M2"	"Airway club cells"	"Airway goblet cells"	"Developmental progression"	109	117	10	11
"Gut"	"G_M8"	"G_M15"	"Gut"	"Pancreatic acinar cells"	"Developmental progression"	123	115	108	188
"Gut"	"G_M8"	"G_M5"	"Gut"	"Biliary epithelial cells"	"Developmental progression"	123	120	108	32
"Gut"	"G_M13"	"G_M2"	"Lung progenitor cells"	"Airway goblet cells"	"Developmental progression"	113	117	135	11
"Gut"	"G_M8"	"G_M16"	"Gut"	"Pancreatic islets"	"Developmental progression"	123	116	108	189
"Gut"	"G_M14"	"G_M10"	"Midgut/Hindgut epithelial cells"	"Intestinal enteroendocrine cells"	"Developmental progression"	114	110	150	124
"PNS_glia"	"PG_M4"	"PG_M2"	"Neural crest (PNS glia)"	"Myelinating Schwann cells"	"Developmental progression"	128	126	168	157
"PNS_glia"	"PG_M4"	"PG_M6"	"Neural crest (PNS glia)"	"Satellite glial cells"	"Developmental progression"	128	130	168	220
"PNS_glia"	"PG_M4"	"PG_M3"	"Neural crest (PNS glia)"	"Myelinating Schwann cells (Tgfb2+)"	"Developmental progression"	128	127	168	158
"PNS_glia"	"PG_M2"	"PG_M5"	"Myelinating Schwann cells"	"Olfactory ensheathing cells"	"Developmental progression"	126	129	157	176
"PNS_glia"	"PG_M4"	"PG_M5"	"Neural crest (PNS glia)"	"Olfactory ensheathing cells"	"Developmental progression"	128	129	168	176
"PNS_glia"	"PG_M4"	"PG_M1"	"Neural crest (PNS glia)"	"Melanocyte cells"	"Developmental progression"	128	125	168	140
"PNS_neurons"	"PN_M4"	"PN_M5"	"Neural crest (PNS neurons)"	"Olfactory sensory neurons"	"Developmental progression"	134	135	169	179
"PNS_neurons"	"PN_M4"	"PN_M2"	"Neural crest (PNS neurons)"	"Dorsal root ganglion neurons"	"Developmental progression"	134	132	169	78
"PNS_neurons"	"PN_M4"	"PN_M3"	"Neural crest (PNS neurons)"	"Enteric neurons"	"Developmental progression"	134	133	169	84
