system	meta_group	total_cells_node	node_age_mean	node_age_weighted	n_celltypes_in_node	delta_input	delta_output	delta_delta
Brain_spinal_cord	BS_M40	395141	10.183443378439586	9.929216764160484	1	0.09900241886559699	-0.648772	0.747774418865597
Brain_spinal_cord	BS_M41	35714	13.616284930279445	13.053201404559523	1	-0.129081	-0.005685	-0.123396
Brain_spinal_cord	BS_M42	21843	13.045323444581788	12.635771729648866	1	-0.125214	-0.020765000000000002	-0.10444899999999999
Brain_spinal_cord	BS_M43	5430	14.864456721915282	15.356306882271069	1	0.001094	-0.03233	0.033423999999999995
Brain_spinal_cord	BS_M44	38632	15.515013460343756	15.701676994591702	1	-0.13177	-0.002017	-0.129753
Brain_spinal_cord	BS_M45	39157	14.471103506397323	14.733480786810656	1	-0.109475	-0.030140999999999998	-0.079334
Brain_spinal_cord	BS_M46	10964	14.303903684786574	15.111644109689149	1	-0.059052	-0.033278	-0.025774
Brain_spinal_cord	BS_M47	9397	13.055230392678514	13.291942723529798	1	0.038845	-0.080837	0.11968200000000001
Brain_spinal_cord	BS_M48	31325	12.807214684756584	12.45297114552636	1	-0.041457	-0.151382	0.109925
Brain_spinal_cord	BS_M49	11065	13.321825576140984	12.63465589192929	1	-0.07367	-0.067041	-0.006628999999999996
Brain_spinal_cord	BS_M5	21825	24.96898052691867	24.547276763787774	1	-0.044113	0	-0.044113
Brain_spinal_cord	BS_M50	8575	14.195102040816328	14.28598568350218	1	-0.101754	-0.032033	-0.069721
Brain_spinal_cord	BS_M51	4440	13.687837837837838	13.53732020595192	1	-0.007413	-0.133297	0.125884
Brain_spinal_cord	BS_M52	6235	9.706335204490776	9.755190183782137	1	-0.051195	-3.63e-4	-0.050831999999999995
Brain_spinal_cord	BS_M53	35716	38.0497816104827	36.48007345462247	1	0.004117	0	0.004117
Brain_spinal_cord	BS_M54	413590	18.602492806886037	19.235662176168606	1	0.100161482530016	-0.151404	0.251565482530016
Brain_spinal_cord	BS_M55	57266	29.112806901128067	28.934336376516775	1	-0.153731	0	-0.153731
Brain_spinal_cord	BS_M56	96626	36.76237244633949	37.01807338350018	1	-0.00363	0.011209	-0.014839
Brain_spinal_cord	BS_M6	4226	35.50970184571699	34.72108630364846	1	0.027203	-0.088826	0.11602900000000001
Brain_spinal_cord	BS_M7	7264	24.31525330396476	23.93547946361678	1	0.03729	-0.042498	0.079788
Brain_spinal_cord	BS_M8	512	39.498046875	39.34878121458656	1	0.011762	0	0.011762
Brain_spinal_cord	BS_M9	2800	35.29714285714286	35.18479463113795	1	0.011951	0	0.011951
Endothelium	En_M1	23238	15.691109389792585	15.892289172351456	1	0	0	0
Endothelium	En_M10	2888	38.74445983379501	38.81576765136392	1	-0.007557	0	-0.007557
Endothelium	En_M11	11678	26.640863161500256	26.812703279035308	1	0.03237	0	0.03237
Endothelium	En_M12	29811	38.27899097648519	38.81411211112565	1	-0.009504	0	-0.009504
Endothelium	En_M2	11258	22.678806182270385	22.22059524082163	1	-0.009825	-0.00278	-0.007045000000000001
Endothelium	En_M3	1609	30.148539465506527	31.11828325149389	1	-0.00278	0	-0.00278
Endothelium	En_M4	12185	12.716044316782927	12.53385432381544	1	-8.7e-5	0	-8.7e-5
